date,species,plant,rep,input_by,potted,branch_length,branch_width,branch_height,total_branch_mass,branching,mpa,notes on plant char,start_time_clocktime,start_time,ambient_temp,ambient_humidity,pre_ignition_glow,first_glow_time,ignition,primary_ignition,primary_time_of_flame_end,secondary_ignition,secondary_time_of_flame_end,third_ignition,third_time_of_ignition_flame_end,time_fh,fh,time_of_glow_end,thermocoupler_height,hotplate_height,notes on flame data,
2023-03-08,EUCGLO,2,5,RD,no,25.00,16.10,4.60,25.49,1,-2.25,,13:09:34,13:09:34,41.3,15,0,N/A,M,13:21:25,13:22:22,N/A,N/A,N/A,N/A,13:21:26,63.0,13:24:33,19.0,15.0,one thermocoupler is resting on hot plate (lower left side),
2022-12-20,QUEAGR,4,1,RD,no,25.00,16.50,13.30,29.66,8,-2.2,,13:14:19,13:14:19,44.4,29,0,N/A,M,13:26:04,13:26:09,N/A,N/A,N/A,N/A,13:26:04,24.0,13:26:11,19.0,15.0,,
2022-07-13,MALLAU,1,3,JL,yes,25.00,19.00,14.00,31.27,5,-0.9,,13:17:35,13:17:35,30.0,40,0,N/A,M,13:24:51,13:25:11,N/A,N/A,N/A,N/A,13:24:58,18.0,13:26:38,18.0,15.0,"straight on video was cut short, unable to tell, best guess",
2022-08-16,SALLEU,4,5,RD,yes,25.00,6.00,5.30,19.44,2,-1.3,,13:20:00,13:20:00,29.7,39,0,N/A,M,13:21:20,13:21:24,N/A,N/A,N/A,N/A,13:21:23,11.0,13:31:11,19.0,15.0,sample ignited by barely touching pilot flame (not intentional manual); small flame throughout,
2022-07-20,CEAGRI,2,4,RD,yes,25.00,6.40,14.20,24.90,6,-2.1,,13:23:11,13:23:11,34.3,37,0,N/A,M,13:28:22,13:28:54,N/A,N/A,N/A,N/A,13:28:34,35.0,13:30:39,19.0,14.0,,
2023-03-08,EUCGLO,2,6,RD,no,25.00,7.10,4.00,28.96,0,-2.55,,13:26:37,13:26:37,38.6,17,0,N/A,1,13:27:23,13:28:32,N/A,N/A,N/A,N/A,13:27:31,33.0,13:32:02,19.0,15.0,one thermocoupler is resting on hot plate (lower left side),
2022-08-09,MALLAU,8,2,AC,yes,25.00,14.40,13.20,22.25,0,-0.9,,13:27:06,13:27:06,33.9,34,0,N/A,M,13:37:24,13:37:44,N/A,N/A,N/A,N/A,13:37:26,27.0,13:39:23,19.0,15.0,,
2023-01-06,QUEAGR,7,1,RD,no,25.00,22.00,18.50,34.68,10,-2.75,,13:27:46,13:27:46,45.2,26,0,N/A,M,13:38:09,13:38:16,N/A,N/A,N/A,N/A,13:38:12,31.0,13:45:13,19.0,15.0,ignited by sample touching pilot flame (not intentional manual ignition),
2022-12-20,QUEAGR,4,2,RD,no,25.00,29.00,11.00,30.79,8,-2.1,,13:28:55,13:28:55,45.9,25,0,N/A,M,13:52:12,13:52:15,13:52:18,13:53:14,N/A,N/A,N/A,N/A,N/A,19.0,15.0,taken out prior to end of glow,
2022-07-13,MALLAU,2,1,JL,yes,25.00,22.00,16.00,26.12,0,-1.5,,13:29:08,13:29:08,30.0,38,0,N/A,M,13:39:42,13:39:59,N/A,N/A,N/A,N/A,13:39:45,24.0,13:52:26,18.0,15.0,,
2022-08-16,SALLEU,4,6,RD,yes,25.00,15.00,5.40,21.78,6,-1.2,,13:32:42,13:32:42,30.8,36,0,N/A,1,13:37:15,13:37:50,N/A,N/A,N/A,N/A,13:37:17,30.0,13:45:35,19.0,15.0,,
2022-07-20,CEAGRI,2,5,RD,yes,25.00,17.50,8.00,24.31,8,-2,,13:34:59,13:34:59,33.0,39,0,N/A,1,13:36:14,13:36:28,N/A,N/A,N/A,N/A,13:36:17,35.0,13:40:03,19.0,14.0,,
2023-01-03,QUEAGR,5,1,RD,no,25.00,19.40,15.30,37.91,3,-2.4,,13:35:43,13:35:43,30.5,44,0,N/A,M,13:55:18,13:56:27,N/A,N/A,N/A,N/A,13:55:40,38.0,13:58:20,19.0,15.0,,
2022-11-01,SALLEU,11,1,RD,yes,25.00,11.00,5.60,20.49,3,-1.1,,13:39:17,13:39:17,26.1,55,0,N/A,M,13:43:18,13:43:33,N/A,N/A,N/A,N/A,13:43:18,8.0,13:47:24,19.0,17.0,sample lit by touching pilot flame (barely; not intentional manual ignition),
2022-11-29,QUEAGR,2,1,KF,no,25.00,10.00,7.00,25.93,1,-1.8,,13:39:35,13:39:35,26.4,33,0,N/A,1,13:41:50,13:42:11,N/A,N/A,N/A,N/A,13:42:06,27.0,13:44:05,19.0,15.0,,
2022-11-29,QUEAGR,2,2,KF,no,25.00,23.00,23.00,47.50,6,-1.7,,13:46:05,13:46:05,24.6,34,0,N/A,M,14:03:58,14:05:22,N/A,N/A,N/A,N/A,14:04:04,82.0,14:11:50,19.0,15.0,,
2022-07-19,HETARB,6,1,AC,yes,25.00,23.50,19.00,44.33,0,-1.9,sickle shaped (communist flag),13:46:08,13:46:08,31.4,41,0,N/A,M,14:01:30,14:01:48,14:01:56,14:02:29,N/A,N/A,14:02:01,49.0,N/A,18.0,15.0,taken out of chamber while still glowing,
2022-11-22,QUEAGR,1,1,KF,no,25.00,16.00,11.00,41.03,6,-2,,13:46:50,13:46:50,26.8,28,0,N/A,1,13:51:41,13:51:53,14:02:12,14:03:19,N/A,N/A,14:02:41,28.0,N/A,19.0,16.0,was glowing past end of video (14:11:42),
2023-01-06,QUEAGR,7,2,RD,no,25.00,16.60,8.90,26.42,7,-2.6,,13:48:10,13:48:10,31.4,35,1,13:53:27,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19.0,15.0,"glowed past end, clapped at 14:04:34 for glow end time, but can still see stem glowing",
2022-08-16,SALLEU,4,7,RD,yes,25.00,11.50,7.80,22.38,7,-1.3,,13:52:53,13:52:53,30.6,37,1,13:55:43,1,13:57:38,13:57:51,N/A,N/A,N/A,N/A,13:57:41,35.0,13:58:49,19.0,15.0,,
2022-07-13,MALLAU,2,2,JL,yes,25.00,15.00,7.00,29.34,0,-1,,13:54:39,13:54:39,29.6,36,0,N/A,M,14:02:45,14:03:05,N/A,N/A,N/A,N/A,14:02:51,10.0,14:04:08,18.0,15.0,,
2022-07-20,CEAGRI,2,7,RD,yes,25.00,13.00,10.00,22.55,4,-1.8,,13:54:41,13:54:41,33.1,36,0,N/A,M,13:59:59,14:00:27,N/A,N/A,N/A,N/A,14:00:17,19.0,14:02:58,19.0,14.0,,
2022-12-20,QUEAGR,4,3,RD,no,24.00,19.40,10.20,28.35,7,-2.25,,13:55:43,13:55:43,24.5,36,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19.0,15.0,,
2022-11-01,SALLEU,11,2,RD,yes,25.00,6.00,3.30,18.78,2,-0.8,,13:56:41,13:56:41,23.8,55,1,13:59:30,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19.0,17.0,still glowing when video ends,
2023-01-03,QUEAGR,5,2,RD,no,25.00,19.20,16.00,37.40,5,-1.95,Y shaped,14:01:14,14:01:14,23.7,44,0,N/A,M,14:08:24,14:08:34,14:15:32,14:15:49,N/A,N/A,14:15:34,30.0,14:18:33,19.0,15.0,ignited by sample touching pilot flame; max flame height from MANUAL second ignition,
