"","species","plant","date","total_branch_mass","total_leaf_mass","stem_mass_ratio","leaf_mass_ratio","leaf_lfm","thickness","leaf_wet_mass","leaf_dry_mass","stem_lfm","stem_width","stem_wet_mass","stem_dry_mass","lfm","leaf_area","auc_voc","avg_voc","norm_avg_voc","norm_auc_voc","LMA","SLA"
"40","IRIDOU",2,2022-08-10,19.109,19.109,0.5,0.5,143.39219435384,0.432,2.164,0.889100000000001,NA,NA,NA,NA,143.39219435384,14.647040704,2603.55,144.62,4187.02953097858,75377.8228141286,0.147743154657106,6.76850309796674
"41","IRIDOU",3,2022-08-17,20.034,20.034,0.5,0.5,203.816338700059,0.384,3.057,1.0062,NA,NA,NA,NA,203.816338700059,20.350578482,2603.55,144.62,4187.02953097858,75377.8228141286,0.150216860061442,6.65704235590449
"42","IRIDOU",4,2022-08-30,18.468,18.468,0.5,0.5,194.973801668932,0.352,1.52,0.515299999999996,NA,NA,NA,NA,194.973801668932,9.7428255466,2603.55,144.62,4187.02953097858,75377.8228141286,0.156012236155705,6.40975364907896
"43","IRIDOU",5,2022-08-30,18.796,18.796,0.5,0.5,154.303164908385,0.602,1.832,0.720399999999998,NA,NA,NA,NA,154.303164908385,8.9813169606,2603.55,144.62,4187.02953097858,75377.8228141286,0.203978994176107,4.90246558984716
"44","IRIDOU",6,2022-08-30,17.679,17.679,0.5,0.5,225.642141924249,0.28,0.748000000000005,0.229700000000001,NA,NA,NA,NA,225.642141924249,5.629276406,2603.55,144.62,4187.02953097858,75377.8228141286,0.132876758228241,7.52577059625664
"45","IRIDOU",7,2022-08-30,19.362,19.362,0.5,0.5,180.479210711768,0.384,2.38800000000001,0.851400000000005,NA,NA,NA,NA,180.479210711768,15.557743312,2603.55,144.62,4187.02953097858,75377.8228141286,0.153492698273155,6.51496788609714
"46","MALLAU",1,2022-07-13,24.362,22.445,0.520477706325977,0.479522293674023,121.797921622637,0.266,3.543,1.5974,157.904155895804,2.3775,1.297,0.5029,130.443270009046,18.709182593,189676.825,11283.78,29409.3515429525,494362.033465388,0.189372249823763,5.28060473976856
"47","MALLAU",10,2022-08-09,30.827,27.645,0.527209604597072,0.472790395402928,185.037963376507,0.222,3.191,1.1195,176.513218332143,3.327,2.709,0.979699999999999,181.059451219512,19.4095313894,189676.825,11283.78,29409.3515429525,494362.033465388,0.164403763078107,6.08258583183954
"48","MALLAU",2,2022-07-13,28.735,25.725,0.527634961439589,0.472365038560411,134.854029438075,0.238,2.88800000000001,1.2297,137.571129080563,3.536,3.173,1.3356,136.268662534597,19.0970567456,189676.825,11283.78,29409.3515429525,494362.033465388,0.151227492198001,6.61255427479223
"49","MALLAU",3,2022-07-13,23.764,20.78,0.533494971264368,0.466505028735632,121.141649048627,0.238,1.046,0.472999999999999,154.9508033379,2.684,2.047,0.802900000000001,142.417117328944,7.378912386,189676.825,11283.78,29409.3515429525,494362.033465388,0.141755308273422,7.05440954684512
"50","MALLAU",4,2022-07-13,37.645,33.107,0.532069764812302,0.467930235187698,123.725689897667,0.244,4.61299999999999,2.0619,121.751833522151,3.999,3.719,1.6771,122.840331639476,29.759739662,189676.825,11283.78,29409.3515429525,494362.033465388,0.155008076427843,6.45127675308911
"51","MALLAU",5,2022-07-13,34.761,28.245,0.551709361013237,0.448290638986763,148.216660621449,0.3,2.053,0.8271,160.535853883874,3.539,3.666,1.4071,155.975293169815,10.2416237256,189676.825,11283.78,29409.3515429525,494362.033465388,0.200456495474279,4.98861360233804
"52","MALLAU",6,2022-08-09,21.548,20.026,0.518304709674316,0.481695290325684,114.388351374653,0.218,2.238,1.0439,142.603550295858,2.7,1.435,0.5915,124.593371652195,13.6718867644,189676.825,11283.78,29409.3515429525,494362.033465388,0.163693573430369,6.10897531921358
"53","MALLAU",7,2022-08-09,31.38,28.203,0.52666028900861,0.47333971099139,138.408901963293,0.274,3.72800000000001,1.5637,168.707482993198,3.011,2.528,0.940799999999999,149.790377320823,26.5866926976,189676.825,11283.78,29409.3515429525,494362.033465388,0.140220524696422,7.13162357768239
"54","MALLAU",8,2022-08-09,25.144,23.23,0.519783354694671,0.480216645305329,174.875621890548,0.254,1.76800000000001,0.6432,186.091276001241,2.604,1.843,0.644200000000001,180.487804878049,14.720528975,189676.825,11283.78,29409.3515429525,494362.033465388,0.120104379605014,8.32609104920811
"55","MALLAU",9,2022-08-09,34.96,31.592,0.52530352205794,0.47469647794206,121.545695683627,0.3,3.675,1.6588,139.453595821615,4.212,4.172,1.7423,130.71947311164,18.4142044798,189676.825,11283.78,29409.3515429525,494362.033465388,0.199574193065543,5.01066788565987
"56","MANDEN",1,2022-08-10,20.347,19.505,0.510564087122353,0.489435912877647,240.898116851762,0.514,0.706000000000001,0.207100000000001,158.420441347271,2.25,0.445,0.1722,203.453730556288,2.5020251432,NA,NA,NA,NA,0.282171424982985,3.54394496203965
"57","MANDEN",2,2022-08-10,20.717,19.487,0.51529698537459,0.48470301462541,256.449375866848,0.264,0.257,0.0721000000000007,210.064384954253,2.105,0.914999999999999,0.2951,219.17211328976,1.9767377426,NA,NA,NA,NA,0.130012188496977,7.69158654708172
"58","MANDEN",3,2022-08-10,19.307,18.495,0.510740172477647,0.489259827522353,163.606823720553,0.546,0.649000000000001,0.2462,158.426966292134,2.475,0.574999999999999,0.2225,161.147855771282,2.5932448466,NA,NA,NA,NA,0.250265608683617,3.99575477134052
"59","MANDEN",4,2022-08-10,19.015,18.47,0.507269574496465,0.492730425503535,155.586592178775,0.332,0.366000000000001,0.143199999999998,178.341793570217,2.02,0.329000000000001,0.118200000000002,165.876052027545,2.0150514418,NA,NA,NA,NA,0.181633080132715,5.50560503224041
"60","MANDEN",5,2022-08-10,18.182,17.984,0.502737377647514,0.497262622352486,177.802590442161,0.466,0.622,0.2239,120.913107511047,1.955,0.15,0.0678999999999998,164.564770390678,2.536509252,NA,NA,NA,NA,0.245218896603496,4.0779891511254
