,date,species,plant,rep,input_by,trt,branch_length,branch_width,branch_height,total_branch_mass,branching,mpa,notes on plant char,start_time_clocktime,start_time,ambient_temp,ambient_humidity,pre_ignition_glow,first_glow_time,ignition,primary_ignition,primary_time_of_flame_end,secondary_ignition,secondary_time_of_flame_end,third_ignition,third_time_of_ignition_flame_end,time_of_max_flame_height,max_flame_height,time_of_glow_end,thermocoupler_height,hotplate_height,notes on flame data,end_time_clock_time,maxflameht_time_clock_time,firstigstart_time_clock_time,secondigstart_time_clock_time,firstigend_time_clock_time,secondigend_time_clock_time
353,2022-07-27,SALLEU,P2,R6,JL,W,25.0,5.4,3.1,19.071,4.0,-1.3,very few leaves on this sample,2023-04-13 15:01:57,2023-04-13 15:01:57,30.8,36.0,0,,M,2023-04-13 15:11:47,2023-04-13 15:12:10,,,,,2023-04-13 15:11:52,14,2023-04-13 15:12:42,19.0,16.0,,2023-04-13 15:12:42,2023-04-13 15:11:52,2023-04-13 15:11:47,,2023-04-13 15:12:10,
354,2022-07-27,SALLEU,P2,R7,JL,W,25.0,4.4,3.9,18.467,0.0,-1.6,,2023-04-13 15:12:55,2023-04-13 15:12:55,30.7,36.0,1,15:23:49,M,2023-04-13 15:31:31,2023-04-13 15:31:37,,,,,2023-04-13 15:31:34,4,2023-04-13 15:29:42,19.0,16.0,"sample finished glow duration prior to manual ignition; manual ignition is for just small portion of stem that remained after majority of sample was consumed via glowing combustion, didn't really glow much after manual ignition as not much mass left to glow; CONSIDER AS 0 IGNITION?",2023-04-13 15:29:42,2023-04-13 15:31:34,2023-04-13 15:31:31,,2023-04-13 15:31:37,
355,2022-07-27,SALLEU,P2,R8,JL,W,25.0,12.3,11.9,26.117,13.0,-1.4,,2023-04-13 15:37:04,2023-04-13 15:37:04,30.7,36.0,?,,1,2023-04-13 15:44:52,2023-04-13 15:45:09,,,,,2023-04-13 15:44:59,32,2023-04-13 15:47:49,19.0,16.0,glare on screen makes glow v. difficult to determine,2023-04-13 15:47:49,2023-04-13 15:44:59,2023-04-13 15:44:52,,2023-04-13 15:45:09,
356,2022-07-27,SALLEU,P3,R1,JL,W,25.0,10.3,7.9,21.497,8.0,-1.4,,2023-04-13 15:50:12,2023-04-13 15:50:12,30.4,36.0,0,,M,2023-04-13 16:02:17,2023-04-13 16:02:30,,,,,2023-04-13 16:02:21,22,2023-04-13 16:03:50,19.0,16.0,,2023-04-13 16:03:50,2023-04-13 16:02:21,2023-04-13 16:02:17,,2023-04-13 16:02:30,
357,2022-07-27,SALLEU,P3,R2,JL,W,25.0,10.9,10.2,23.823,11.0,-1.7,,2023-04-13 16:06:17,2023-04-13 16:06:17,29.7,38.0,1,16:09:06,1,2023-04-13 16:12:22,2023-04-13 16:13:22,,,,,2023-04-13 16:12:25,30,2023-04-13 16:14:54,19.0,16.0,flame was rather small for last 32 seconds of flame duration,2023-04-13 16:14:54,2023-04-13 16:12:25,2023-04-13 16:12:22,,2023-04-13 16:13:22,
358,2022-07-27,SALLEU,P3,R3,JL,W,25.0,7.5,3.3,20.324,4.0,-2.0,,2023-04-13 16:21:41,2023-04-13 16:21:41,29.5,38.0,1,16:23:21,M,2023-04-13 16:34:07,2023-04-13 16:34:41,,,,,2023-04-13 16:34:11,19,2023-04-13 16:38:13,19.0,16.0,,2023-04-13 16:38:13,2023-04-13 16:34:11,2023-04-13 16:34:07,,2023-04-13 16:34:41,
359,2022-08-16,SALLEU,P4,R1,RD,W,25.0,12.5,4.0,21.225,4.0,-1.7,,2023-04-13 11:56:24,2023-04-13 11:56:24,26.4,50.0,0,,1,2023-04-13 11:58:13,2023-04-13 11:58:20,,,,,2023-04-13 11:58:16,12,2023-04-13 12:23:08,19.0,15.0,,2023-04-13 12:23:08,2023-04-13 11:58:16,2023-04-13 11:58:13,,2023-04-13 11:58:20,
360,2022-08-16,SALLEU,P4,R2,RD,W,25.0,8.4,7.0,22.811,7.0,-1.1,,2023-04-13 12:26:35,2023-04-13 12:26:35,28.7,42.0,1,12:32:19,M,2023-04-13 12:37:22,2023-04-13 12:37:51,,,,,2023-04-13 12:37:26,22,2023-04-13 12:39:34,19.0,15.0,,2023-04-13 12:39:34,2023-04-13 12:37:26,2023-04-13 12:37:22,,2023-04-13 12:37:51,
361,2022-08-16,SALLEU,P4,R3,RD,W,25.0,6,2.9,18.151,0.0,-0.7,,2023-04-13 12:52:27,2023-04-13 12:52:27,29.1,41.0,0,,1,2023-04-13 12:55:34,2023-04-13 12:55:43,,,,,2023-04-13 12:55:36,18,2023-04-13 13:02:11,19.0,15.0,,2023-04-13 13:02:11,2023-04-13 12:55:36,2023-04-13 12:55:34,,2023-04-13 12:55:43,
362,2022-08-16,SALLEU,P4,R4,RD,W,25.0,7.1,5.3,20.372,7.0,-0.9,,2023-04-13 13:03:49,2023-04-13 13:03:49,30.4,38.0,1,13:06:06,0,,,,,,,,,2023-04-13 13:18:37,19.0,15.0,,2023-04-13 13:18:37,,,,,
