label,species,plant_number,leaf_number,area_cm2,std_dev_cm2,x,y,xm,ym,perim,bx,by,width,height,major,minor,angle,circ,feret,feret_x,feret_y,feret_angle,min_feret,ar,round,solidity,x_1,notes,,
ARTCAL_P8_R1_W_00001.jpg,ARTCAL,8,2,0.189664378,32.041182,11.05026991,6.442792824,11.05092858,6.442900896,4.356477295,10.34790841,6.074597679,1.138987065,0.704484592,0.780179378,0.309529056,4.282073725,0.125581228,1.156915084,2453,1544,19.82246457,0.636203171,2.520536804,0.396740884,0.41674324,61,,,
ARTCAL_P8_R1_W_00001.jpg,ARTCAL,8,3,0.275545434,35.6627338,16.33384819,10.31330545,16.33319835,10.31269606,5.516141561,15.52819032,9.80794417,1.282415066,0.906971181,0.835729122,0.419795521,4.392289124,0.113797383,1.433783631,3681,2491,26.56505118,0.785195967,1.990800474,0.502310509,0.411278006,62,,,
ARTCAL_P8_R1_W_00001.jpg,ARTCAL,8,4,0.097572695,40.64435062,10.09215315,14.17699449,10.08846931,14.17427771,2.895233165,9.521088168,13.8365836,1.155860947,0.510434944,0.775896782,0.160115903,161.6839779,0.146275326,1.206512094,2257,3291,163.339132,0.293940562,4.84584458,0.206362376,0.408919715,64,,,
ARTCAL_P8_R1_W_00001.jpg,ARTCAL,8,5,0.328309074,28.11189162,12.87580731,19.94009675,12.87853101,19.94029017,8.342225898,11.77796995,19.35856163,1.754883774,1.075710006,1.034206442,0.404190188,6.020589008,0.059282821,1.813809917,2792,4773,16.62266271,1.035831361,2.558712388,0.390821573,0.305669693,65,,,
ARTCAL_P9_R1_W_00001.jpg,ARTCAL,9,1,0.229615263,24.87858013,16.98185133,4.635227096,16.98370578,4.635915825,6.506655505,15.95003738,4.382990965,1.72957295,0.852131063,0.967585002,0.302149405,166.2838915,0.068154571,1.766955148,3781,1058,165.7646985,0.845357996,3.202339589,0.312271691,0.266280066,66,,,
ARTCAL_P9_R1_W_00001.jpg,ARTCAL,9,2,0.301900561,25.47265691,11.39265474,7.788559056,11.39138783,7.787365573,8.427897374,10.23822817,7.217803215,1.813942363,1.092583888,0.922785624,0.416555831,7.769104774,0.053411565,1.863996052,2428,1876,17.24572979,1.027209692,2.215274772,0.451411271,0.26346236,67,,,
ARTCAL_P9_R1_W_00001.jpg,ARTCAL,9,3,0.31304054,16.2810684,16.92805889,12.7342533,16.92831526,12.73431823,10.1271019,15.7602062,12.17872465,1.915185657,1.079928476,1.026091011,0.388440782,172.6842413,0.038356599,1.975803022,3736,2993,165.281343,0.988929437,2.641563548,0.378563673,0.256023636,69,,,
ARTCAL_P9_R1_W_00001.jpg,ARTCAL,9,4,0.203153363,20.87266884,11.19985988,15.55269891,11.20021488,15.55281567,6.269252092,10.263539,15.17383879,1.653640479,0.949155887,0.926574628,0.279160348,162.9768114,0.064953478,1.734402017,2433,3610,162.4464552,0.819713305,3.319148425,0.301282098,0.246664434,70,,,
ARTCAL_P9_R1_W_00001.jpg,ARTCAL,9,5,0.277431756,22.74248741,14.25634226,19.55008967,14.25592591,19.55012643,8.193958526,13.13631748,18.90296681,1.847690127,0.991340594,0.977925293,0.361210703,16.30261647,0.05192524,1.853248607,3114,4708,4.438716368,0.908062666,2.70735414,0.369364312,0.275665735,71,,,
CEAGRI_P1_R1_W_00001.jpg,CEAGRI,1,1,3.892052557,13.23771486,16.2606777,5.151482472,16.26026476,5.151386114,9.058475334,14.83636114,4.108790375,2.712476603,2.041739776,2.507296283,1.97643783,172.4155139,0.596044038,2.759308688,3517,1173,169.4287728,2.037397319,1.26859355,0.788274543,0.956745028,2,,,
